"order_id","courier_id","courier_age_years","courier_rating_1_to_5","restaurant_latitude_deg","restaurant_longitude_deg","customer_latitude_deg","customer_longitude_deg","order_type","vehicle_type","temperature_celsius","humidity_percent","precipitation_mm","weather_description","traffic_level","distance_km","delivery_time_min","order_type_factor","vehicle_type_factor","traffic_level_cleaned","traffic_level_factor","weather_description_cleaned","weather_category","long_delivery_flag","average_speed_kmph"
"2784","PUNERES13DEL03",23,4.7,18.56245,73.916619,18.65245,74.006619,"Drinks ","scooter ",19.37,65,0,"clear sky","High",21.93,49.45,"Drinks","scooter","high","high","clear sky","Clear",1,26.6086956521739
"C8B6","LUDHRES15DEL02",34,4.3,30.899584,75.809346,30.919584,75.829346,"Buffet ","motorcycle ",19.14,55,0,"clear sky","Low",3.98,17.5,"Buffet","motorcycle","low","low","clear sky","Clear",0,13.6457142857143
"DB64","KNPRES14DEL02",24,4.7,26.463504,80.372929,26.593504,80.502929,"Snack ","scooter ",19.99,56,0,"clear sky","Very High",24.5,56.16666667,"Snack","scooter","very high","very high","clear sky","Clear",1,26.1721068233726
"3AF3","MUMRES15DEL03",29,4.5,19.176269,72.836721,19.266269,72.926721,"Buffet ","electric_scooter ",24.74,47,0,"clear sky","Very High",22,54.31666667,"Buffet","electric_scooter","very high","very high","clear sky","Clear",1,24.3019331068241
"3AAB","MYSRES01DEL01",35,4,12.311072,76.654878,12.351072,76.694878,"Meal ","scooter ",17.97,77,0,"scattered clouds","Moderate",10.51,29.45,"Meal","scooter","moderate","moderate","scattered clouds","Clear",0,21.4125636672326
"689B","PUNERES20DEL01",33,4.2,18.592718,73.773572,18.702718,73.883572,"Snack ","motorcycle ",18.61,65,0,"clear sky","Very High",23.61,55.85,"Snack","motorcycle","very high","very high","clear sky","Clear",1,25.3643688451209
"6F67","HYDRES14DEL01",34,4.9,17.426228,78.407495,17.496228,78.477495,"Snack ","motorcycle ",21.29,64,0,"overcast clouds","High",18.26,52.48333333,"Snack","motorcycle","high","high","overcast clouds","Clear",1,20.8751984770324
"C9CF","KOLRES15DEL03",21,4.7,22.552672,88.352885,22.582672,88.382885,"Meal ","motorcycle ",22.99,83,0,"haze","Moderate",8.07,31.73333333,"Meal","motorcycle","moderate","moderate","haze","Poor Visibility",0,15.2584033629473
"36B8","PUNERES19DEL02",25,4.1,18.563934,73.915367,18.643935,73.995367,"Snack ","motorcycle ",19.17,65,0,"clear sky","Very High",23.53,50.45,"Snack","motorcycle","very high","very high","clear sky","Clear",1,27.98414271556
"5795","RANCHIRES06DEL02",31,4.7,23.357804,85.325146,23.487804,85.455146,"Meal ","electric_scooter ",17.85,67,0,"clear sky","Very High",22.26,49.26666667,"Meal","electric_scooter","very high","very high","clear sky","Clear",1,27.1096075759736
"6C6B","COIMBRES13DEL01",37,5,11.003669,76.976494,11.013669,76.986494,"Snack ","motorcycle ",23.93,78,0,"mist","Very Low",2.07,13.26666667,"Snack","motorcycle","very low","very low","mist","Rainy",0,9.36180904287392
"B816","CHENRES19DEL02",33,4.3,12.986047,80.218114,13.116047,80.348114,"Meal ","scooter ",26.45,87,0,"scattered clouds","Very High",27.52,101,"Meal","scooter","very high","very high","scattered clouds","Clear",1,16.3485148514851
"539B","MUMRES02DEL01",25,4,19.221315,72.862381,19.261315,72.902381,"Buffet ","motorcycle ",24.51,47,0,"clear sky","High",8.97,34.61666667,"Buffet","motorcycle","high","high","clear sky","Clear",0,15.5474241679781
"A1B2","CHENRES01DEL01",29,4.5,13.005801,80.250744,13.115801,80.360744,"Meal ","electric_scooter ",26.46,87,0,"scattered clouds","Very High",24.31,79.66666667,"Meal","electric_scooter","very high","very high","scattered clouds","Clear",1,18.3087866101126
"3231","JAPRES16DEL03",27,5,26.849596,75.800512,26.879596,75.830512,"Snack ","motorcycle ",19.44,64,0,"haze","Low",6.05,19.65,"Snack","motorcycle","low","low","haze","Poor Visibility",0,18.4732824427481
"8BC0","SURRES15DEL03",35,4.3,21.160522,72.771477,21.250522,72.861477,"Drinks ","scooter ",22.92,43,0,"clear sky","High",16.08,44.16666667,"Drinks","scooter","high","high","clear sky","Clear",1,21.8445283002381
"2288","BANGRES09DEL03",32,4,12.934179,77.615797,13.024179,77.705797,"Buffet ","motorcycle ",19.89,93,0,"mist","Very High",17.37,57.93333333,"Buffet","motorcycle","very high","very high","mist","Rainy",1,17.9896432691594
"3C5E","PUNERES04DEL01",23,4.8,18.51421,73.838429,18.62421,73.948429,"Buffet ","electric_scooter ",19.21,65,0,"clear sky","Very High",19.87,54.76666667,"Buffet","electric_scooter","very high","very high","clear sky","Clear",1,21.7687157625217
"3.00E+60","COIMBRES02DEL03",31,4.8,11.022477,76.995667,11.052477,77.025667,"Drinks ","motorcycle ",23.86,78,0,"mist","Moderate",6.61,34.21666667,"Drinks","motorcycle","moderate","moderate","mist","Rainy",0,11.5908426681353
"BFF","SURRES16DEL02",36,4.1,21.160437,72.774209,21.210437,72.824209,"Drinks ","motorcycle ",23.26,43,0,"clear sky","Moderate",10.6,32.08333333,"Drinks","motorcycle","moderate","moderate","clear sky","Clear",0,19.8233766254362
"D936","GOARES15DEL02",26,4.3,15.51315,73.78346,15.56315,73.83346,"Buffet ","motorcycle ",24.66,59,0,"scattered clouds","Moderate",12.29,34.78333333,"Buffet","motorcycle","moderate","moderate","scattered clouds","Clear",0,21.1998083393579
"D681","GOARES07DEL01",38,4.9,15.561295,73.749478,15.601295,73.789478,"Drinks ","scooter ",24.8,58,0,"scattered clouds","Moderate",9.26,34.91666667,"Drinks","scooter","moderate","moderate","scattered clouds","Clear",0,15.9121718361898
"30C8","PUNERES19DEL02",32,4.6,18.563934,73.915367,18.693935,74.045367,"Drinks ","scooter ",19.15,64,0,"clear sky","High",26.35,54.38333333,"Drinks","scooter","high","high","clear sky","Clear",1,29.0714066827503
"B843","PUNERES02DEL01",33,4.9,18.55144,73.804855,18.62144,73.874855,"Snack ","motorcycle ",18.97,65,0,"clear sky","High",17.24,47.46666667,"Snack","motorcycle","high","high","clear sky","Clear",1,21.7921348299303
"B3A0","PUNERES18DEL01",20,4.7,18.593481,73.785901,18.633481,73.825901,"Snack ","scooter ",18.93,64,0,"clear sky","Low",8.31,23.13333333,"Snack","scooter","low","low","clear sky","Clear",0,21.5533141241431
"6531","SURRES08DEL01",20,4.8,21.173343,72.792731,21.183343,72.802731,"Meal ","scooter ",23.6,44,0,"clear sky","Very Low",2.23,7.516666667,"Meal","scooter","very low","very low","clear sky","Clear",0,17.8004434581907
"4BDA","HYDRES17DEL02",35,5,17.451976,78.385883,17.471976,78.405883,"Snack ","scooter ",21.28,65,0,"broken clouds","Low",5.75,22.03333333,"Snack","scooter","low","low","broken clouds","Clear",0,15.6580937996457
"9D26","BANGRES17DEL02",26,4.9,12.972532,77.608179,12.992532,77.628179,"Buffet ","scooter ",20.04,91,0,"mist","Low",4.17,24.13333333,"Buffet","scooter","low","low","mist","Rainy",0,10.3674033163491
"9B18","BANGRES17DEL01",22,4.8,12.972532,77.608179,13.042532,77.678179,"Snack ","motorcycle ",19.7,93,0,"mist","High",12.08,47.28333333,"Snack","motorcycle","high","high","mist","Rainy",1,15.3288685241684
"5D99","CHENRES11DEL01",35,4.3,13.064181,80.236442,13.134181,80.306442,"Snack ","motorcycle ",26.4,88,0,"scattered clouds","Very High",15.31,73.45,"Snack","motorcycle","very high","very high","scattered clouds","Clear",1,12.5064669843431
"4F0","MUMRES17DEL02",29,4.6,19.121999,72.908493,19.201999,72.988493,"Drinks ","scooter ",24.42,49,0,"clear sky","High",19.19,46.25,"Drinks","scooter","high","high","clear sky","Clear",1,24.8951351351351
"B796","SURRES17DEL03",37,4.7,21.149569,72.772697,21.239569,72.862697,"Snack ","motorcycle ",22.97,43,0,"clear sky","Very High",20.14,51.85,"Snack","motorcycle","very high","very high","clear sky","Clear",1,23.3056894889103
"85B4","MUMRES07DEL01",28,4.6,19.091458,72.827808,19.201458,72.937808,"Snack ","scooter ",23.99,49,0,"clear sky","Very High",31.21,74.86666667,"Snack","scooter","very high","very high","clear sky","Clear",1,25.0124666061882
"C644","KOLRES16DEL02",37,4.9,22.539129,88.365507,22.559129,88.385507,"Snack ","scooter ",22.99,83,0,"haze","Low",5.32,24.86666667,"Snack","scooter","low","low","haze","Poor Visibility",0,12.8364611242847
"6999","MUMRES02DEL03",23,4.9,19.221315,72.862381,19.281315,72.922381,"Drinks ","electric_scooter ",24.96,48,0,"clear sky","High",13.2,40.61666667,"Drinks","electric_scooter","high","high","clear sky","Clear",1,19.4993844875257
"63B6","BANGRES05DEL03",27,4.9,12.970324,77.645748,13.030324,77.705748,"Drinks ","scooter ",19.84,93,0,"mist","High",11.37,44.18333333,"Drinks","scooter","high","high","mist","Rainy",1,15.440211242206
"A30B","CHENRES11DEL01",37,4.8,13.064181,80.236442,13.104181,80.276442,"Drinks ","motorcycle ",26.14,88,0,"mist","High",8.68,46.45,"Drinks","motorcycle","high","high","mist","Rainy",1,11.2120559741658
"3556","SURRES09DEL01",33,5,21.175975,72.795503,21.185975,72.805503,"Snack ","scooter ",23.61,44,0,"clear sky","Very Low",1.82,9.85,"Snack","scooter","very low","very low","clear sky","Clear",0,11.0862944162437
"5554","RANCHIRES15DEL01",31,4.9,23.369746,85.33982,23.409746,85.37982,"Snack ","motorcycle ",17.72,68,0,"clear sky","Moderate",8.81,32.61666667,"Snack","motorcycle","moderate","moderate","clear sky","Clear",0,16.2064384245062
"25FD","BANGRES19DEL01",31,4.8,12.914264,77.6784,13.024264,77.7884,"Drinks ","scooter ",19.91,93,0,"mist","Very High",26.36,80.75,"Drinks","scooter","very high","very high","mist","Rainy",1,19.5863777089783
"7AC8","COIMBRES14DEL02",28,4.8,11.003681,76.975525,11.083681,77.055525,"Drinks ","motorcycle ",23.97,78,0,"mist","High",15.83,50.35,"Drinks","motorcycle","high","high","mist","Rainy",1,18.8639523336643
"3DA1","SURRES08DEL03",31,4.7,21.173343,72.792731,21.233343,72.852731,"Snack ","motorcycle ",23.01,43,0,"clear sky","Moderate",11.3,31.71666667,"Snack","motorcycle","moderate","moderate","clear sky","Clear",0,21.3767735132552
"272D","COIMBRES07DEL03",24,4.7,10.96185,76.971082,11.05185,77.061082,"Buffet ","motorcycle ",24.04,78,0,"mist","High",19.07,49.71666667,"Buffet","motorcycle","high","high","mist","Rainy",1,23.0144150168948
"DDC5","AGRRES12DEL03",39,4.6,27.165108,78.015053,27.255108,78.105053,"Snack ","motorcycle ",21.69,52,0,"clear sky","Very High",18.94,52.25,"Snack","motorcycle","very high","very high","clear sky","Clear",1,21.7492822966507
"B002","JAPRES14DEL01",32,4.5,26.88842,75.800689,26.89842,75.810689,"Buffet ","scooter ",19.63,64,0,"haze","Very Low",1.78,11.86666667,"Buffet","scooter","very low","very low","haze","Poor Visibility",0,8.99999999747191
"8AA2","JAPRES18DEL02",25,4.8,26.913987,75.752891,26.993987,75.832891,"Drinks ","scooter ",18.74,64,0,"haze","Very High",21.14,65.18333333,"Drinks","scooter","very high","very high","haze","Poor Visibility",1,19.4589619033219
"B55A","MYSRES04DEL03",33,4.9,12.3085,76.665808,12.3385,76.695808,"Drinks ","scooter ",18.17,81,0,"broken clouds","Low",6.08,27.55,"Drinks","scooter","low","low","broken clouds","Clear",0,13.2413793103448
"73CC","SURRES12DEL01",30,4.4,21.183434,72.814492,21.253434,72.884492,"Drinks ","scooter ",22.83,42,0,"clear sky","High",14.97,42.3,"Drinks","scooter","high","high","clear sky","Clear",1,21.2340425531915
"BE80","MUMRES04DEL01",33,5,19.254567,72.848923,19.364567,72.958923,"Buffet ","motorcycle ",22.86,49,0,"clear sky","Very High",35.56,85.83333333,"Buffet","motorcycle","very high","very high","clear sky","Clear",1,24.8574757291207
"1609","PUNERES02DEL01",36,4.9,18.55144,73.804855,18.59144,73.844855,"Drinks ","scooter ",19.2,65,0,"clear sky","Moderate",8.72,35.33333333,"Drinks","scooter","moderate","moderate","clear sky","Clear",0,14.8075471712083
"D255","ALHRES07DEL02",21,4.8,25.449659,81.839744,25.469659,81.859744,"Meal ","electric_scooter ",22.2,54,0,"clear sky","Low",4.76,15.51666667,"Meal","electric_scooter","low","low","clear sky","Clear",0,18.40601503364
"DE72","DEHRES19DEL02",39,4.9,30.372202,78.077151,30.422202,78.127151,"Meal ","motorcycle ",13.45,78,0,"clear sky","Very High",14.69,51.23333333,"Meal","motorcycle","very high","very high","clear sky","Clear",1,17.2036434624075
"8B53","SURRES11DEL01",22,4.7,21.157735,72.768778,21.197735,72.808778,"Buffet ","scooter ",23.45,43,0,"clear sky","Low",7.88,19.65,"Buffet","scooter","low","low","clear sky","Clear",0,24.0610687022901
"BBDE","SURRES01DEL01",32,4.6,21.186438,72.794115,21.226438,72.834115,"Meal ","scooter ",23.1,43,0,"clear sky","Low",7,17.36666667,"Meal","scooter","low","low","clear sky","Clear",0,24.1842610318264
"A9F","BANGRES13DEL01",29,4.6,12.935662,77.61413,12.975662,77.65413,"Drinks ","scooter ",20.21,91,0,"mist","High",11.19,45.48333333,"Drinks","scooter","high","high","mist","Rainy",1,14.7614510820639
"4B7F","HYDRES13DEL03",26,4.7,17.431477,78.40035,17.491477,78.46035,"Buffet ","motorcycle ",21.4,64,0,"broken clouds","High",15.46,45.58333333,"Buffet","motorcycle","high","high","broken clouds","Clear",1,20.3495429630969
"B962","CHENRES11DEL03",35,4.1,13.064181,80.236442,13.154181,80.326442,"Buffet ","motorcycle ",26.39,87,0,"scattered clouds","Very High",23.37,78.68333333,"Buffet","motorcycle","very high","very high","scattered clouds","Clear",1,17.8208006785775
"633C","BANGRES010DEL03",39,4.6,12.933298,77.614293,13.023298,77.704293,"Drinks ","scooter ",19.9,93,0,"mist","Very High",17.63,69,"Drinks","scooter","very high","very high","mist","Rainy",1,15.3304347826087
"2DC6","VADRES20DEL01",34,4.7,22.311358,73.164798,22.351358,73.204798,"Drinks ","electric_scooter ",19.01,82,0,"haze","Low",8.12,25.51666667,"Drinks","electric_scooter","low","low","haze","Poor Visibility",0,19.0934030020779
"903A","BANGRES11DEL01",27,4.7,12.934365,77.616155,13.044365,77.726155,"Snack ","scooter ",19.74,93,0,"mist","Very High",21.83,68.68333333,"Snack","scooter","very high","very high","mist","Rainy",1,19.0701286104863
"1FB7","CHENRES02DEL01",25,4.4,13.086438,80.220672,13.196438,80.330672,"Snack ","scooter ",26.36,87,0,"scattered clouds","Very High",26.35,65.76666667,"Snack","scooter","very high","very high","scattered clouds","Clear",1,24.0395337037993
"34D7","MUMRES04DEL01",25,4.7,19.254567,72.848923,19.364567,72.958923,"Meal ","motorcycle ",22.86,49,0,"clear sky","Very High",35.56,83,"Meal","motorcycle","very high","very high","clear sky","Clear",1,25.7060240963855
"156B","JAPRES03DEL02",30,5,26.913483,75.803139,26.933483,75.823139,"Buffet ","motorcycle ",19.7,64,0,"haze","Low",3.98,19.43333333,"Buffet","motorcycle","low","low","haze","Poor Visibility",0,12.2881646676309
"56AD","HYDRES04DEL03",24,4.6,17.411028,78.329645,17.471028,78.389645,"Buffet ","motorcycle ",21.27,65,0,"broken clouds","High",12.62,36.36666667,"Buffet","motorcycle","high","high","broken clouds","Clear",0,20.8212648926837
"837C","PUNERES14DEL02",39,4.8,18.516216,73.842527,18.566216,73.892527,"Meal ","motorcycle ",19.23,65,0,"clear sky","Moderate",9.82,26.6,"Meal","motorcycle","moderate","moderate","clear sky","Clear",0,22.1503759398496
"CBC4","GOARES04DEL01",25,4.8,15.5696,73.742294,15.6096,73.782294,"Snack ","scooter ",24.51,57,0,"broken clouds","Moderate",8.48,31.33333333,"Snack","scooter","moderate","moderate","broken clouds","Clear",0,16.2382978740679
"C19E","AURGRES08DEL02",37,4.6,19.876428,75.364792,19.956428,75.444792,"Buffet ","motorcycle ",16.17,82,0,"mist","High",15.46,40.21666667,"Buffet","motorcycle","high","high","mist","Rainy",1,23.0650642334799
"1D60","BANGRES12DEL01",24,5,12.939496,77.625999,12.949496,77.635999,"Drinks ","motorcycle ",20.3,91,0,"mist","Low",2.41,23.15,"Drinks","motorcycle","low","low","mist","Rainy",0,6.24622030237581
"95FB","HYDRES05DEL01",25,4.2,17.433809,78.386744,17.543809,78.496744,"Meal ","motorcycle ",21.13,64,0,"overcast clouds","Very High",24.67,64.9,"Meal","motorcycle","very high","very high","overcast clouds","Clear",1,22.8073959938367
"8195","RANCHIRES17DEL01",32,4.6,23.374878,85.335739,23.384878,85.345739,"Drinks ","motorcycle ",17.67,68,0,"clear sky","Low",3.05,24.33333333,"Drinks","motorcycle","low","low","clear sky","Clear",0,7.52054794623569
"6D19","INDORES12DEL02",38,4.9,22.74806,75.8934,22.76806,75.9134,"Drinks ","scooter ",17.11,77,0,"haze","Low",4.46,23.38333333,"Drinks","scooter","low","low","haze","Poor Visibility",0,11.4440484692009
"3.50E+07","JAPRES15DEL03",36,4.8,26.891191,75.802083,26.981191,75.892083,"Buffet ","electric_scooter ",19.97,68,0,"haze","High",17.59,47.91666667,"Buffet","electric_scooter","high","high","haze","Poor Visibility",1,22.0257391289026
"B437","SURRES16DEL01",25,5,21.160437,72.774209,21.270437,72.884209,"Meal ","motorcycle ",22.88,43,0,"clear sky","Very High",24.59,47.96666667,"Meal","motorcycle","very high","very high","clear sky","Clear",1,30.7588603175289
"9.70E+04","MYSRES16DEL02",29,5,12.316967,76.603067,12.366967,76.653067,"Drinks ","motorcycle ",18.28,81,0,"scattered clouds","High",13.43,48.2,"Drinks","motorcycle","high","high","scattered clouds","Clear",1,16.7178423236514
"A3E0","MUMRES05DEL03",36,4.7,18.927584,72.832585,19.017584,72.922585,"Drinks ","electric_scooter ",26.84,44,0,"smoke","Very High",22.46,62.16666667,"Drinks","electric_scooter","very high","very high","smoke","Poor Visibility",1,21.6772117950843
"4161","COIMBRES19DEL02",33,4.7,11.022298,76.998349,11.072298,77.048349,"Snack ","motorcycle ",25.06,73,0,"mist","Moderate",9.16,30.36666667,"Snack","motorcycle","moderate","moderate","mist","Rainy",0,18.0987925336884
"1236","MYSRES07DEL01",36,4.4,12.325461,76.632278,12.365461,76.672278,"Meal ","scooter ",18.36,81,0,"broken clouds","Moderate",8.86,25.98333333,"Meal","scooter","moderate","moderate","broken clouds","Clear",0,20.4592687646516
"2558","PUNERES17DEL01",21,4.8,18.530963,73.828972,18.640963,73.938972,"Snack ","motorcycle ",19.22,65,0,"clear sky","Very High",26.41,66.83333333,"Snack","motorcycle","very high","very high","clear sky","Clear",1,23.7097256869681
"3185","HYDRES19DEL03",25,4.8,17.458998,78.500366,17.488998,78.530366,"Snack ","scooter ",21.29,64,0,"broken clouds","Low",6.78,24.75,"Snack","scooter","low","low","broken clouds","Clear",0,16.4363636363636
"3C57","MUMRES14DEL02",23,4.8,19.1813,72.836191,19.3113,72.966191,"Meal ","motorcycle ",27.05,49,0,"clear sky","Very High",42.54,93.41666667,"Meal","motorcycle","very high","very high","clear sky","Clear",1,27.3227475458582
"4863","COIMBRES02DEL01",25,4.6,11.022477,76.995667,11.032477,77.005667,"Snack ","motorcycle ",24.86,73,0,"mist","Low",2.57,18.75,"Snack","motorcycle","low","low","mist","Rainy",0,8.224
"6757","INDORES05DEL02",24,4.3,22.727021,75.884167,22.747021,75.904167,"Meal ","motorcycle ",17.08,77,0,"haze","Low",4.04,16.25,"Meal","motorcycle","low","low","haze","Poor Visibility",0,14.9169230769231
"22AD","BANGRES03DEL03",27,4.6,12.979166,77.640709,13.069166,77.730709,"Buffet ","motorcycle ",19.22,93,0,"fog","High",18.4,46.81666667,"Buffet","motorcycle","high","high","fog","Poor Visibility",1,23.5813456729383
"9F99","MUMRES11DEL01",23,4.8,18.994237,72.825553,19.104237,72.935553,"Snack ","scooter ",27.03,44,0,"smoke","High",19.59,52.81666667,"Snack","scooter","high","high","smoke","Poor Visibility",1,22.2543389067684
"6781","MYSRES12DEL02",21,4.3,12.284747,76.625861,12.414747,76.755861,"Drinks ","scooter ",18.4,82,0,"broken clouds","Very High",29.59,60.56666667,"Drinks","scooter","very high","very high","broken clouds","Clear",1,29.3131535481941
"1B8D","SURRES09DEL02",27,4.7,21.175975,72.795503,21.195975,72.815503,"Snack ","scooter ",23.39,43,0,"clear sky","Very Low",4.15,14.43333333,"Snack","scooter","very low","very low","clear sky","Clear",0,17.2517321056009
"1AEA","COIMBRES12DEL02",32,4.2,11.000762,76.981876,11.130762,77.111876,"Snack ","motorcycle ",25.15,73,0,"mist","Very High",26.96,58.5,"Snack","motorcycle","very high","very high","mist","Rainy",1,27.6512820512821
"1.00E+42","SURRES08DEL01",25,4.6,21.173343,72.792731,21.283343,72.902731,"Drinks ","motorcycle ",22.85,43,0,"clear sky","High",21.81,52.31666667,"Drinks","motorcycle","high","high","clear sky","Clear",1,25.0130614829555
"DDC8","KNPRES05DEL02",39,4.7,26.479108,80.315042,26.499108,80.335042,"Meal ","scooter ",21.81,55,0,"clear sky","High",9.52,33.3,"Meal","scooter","high","high","clear sky","Clear",0,17.1531531531532
"24AC","SURRES05DEL02",27,4.6,21.175104,72.804342,21.255104,72.884342,"Snack ","motorcycle ",22.88,43,0,"clear sky","High",16.35,40.8,"Snack","motorcycle","high","high","clear sky","Clear",1,24.0441176470588
"3F01","MUMRES15DEL01",39,3.8,19.176269,72.836721,19.286269,72.946721,"Drinks ","motorcycle ",27.04,48,0,"clear sky","Very High",25.68,70.41666667,"Drinks","motorcycle","very high","very high","clear sky","Clear",1,21.8811834309169
"628C","BANGRES15DEL02",31,4.8,12.975377,77.696664,13.025377,77.746664,"Snack ","scooter ",19.58,93,0,"mist","High",16.6,45.73333333,"Snack","scooter","high","high","mist","Rainy",1,21.778425657564
"6C38","RANCHIRES11DEL03",31,4.8,23.359194,85.325447,23.419194,85.385447,"Buffet ","electric_scooter ",17.84,68,0,"clear sky","High",11.34,41.43333333,"Buffet","electric_scooter","high","high","clear sky","Clear",1,16.4215607414659
"4BEB","MYSRES08DEL01",20,4.8,12.297954,76.665169,12.307954,76.675169,"Drinks ","motorcycle ",18.05,81,0,"broken clouds","Very Low",3.09,17.66666667,"Drinks","motorcycle","very low","very low","broken clouds","Clear",0,10.4943396206614
"8339","RANCHIRES07DEL02",36,4.9,23.359407,85.325055,23.439407,85.405055,"Drinks ","motorcycle ",17.58,69,0,"clear sky","High",15.03,46.01666667,"Drinks","motorcycle","high","high","clear sky","Clear",1,19.5972473727202
"3EC5","RANCHIRES01DEL03",20,4.9,23.416792,85.316842,23.506792,85.406842,"Meal ","motorcycle ",17.41,69,0,"clear sky","High",18.92,35.45,"Meal","motorcycle","high","high","clear sky","Clear",0,32.0225669957687
"ADB4","JAPRES17DEL03",24,4.6,26.892312,75.806896,26.922313,75.836896,"Drinks ","motorcycle ",19.58,68,0,"haze","Moderate",6.14,35.7,"Drinks","motorcycle","moderate","moderate","haze","Poor Visibility",0,10.3193277310924
"6.00E+02","VADRES06DEL01",29,4.6,22.31279,73.170283,22.42279,73.280283,"Snack ","electric_scooter ",22.47,44,0,"clear sky","High",20.29,44.28333333,"Snack","electric_scooter","high","high","clear sky","Clear",1,27.4911554405338
"2BC0","INDORES14DEL01",39,4.2,22.761593,75.886362,22.871593,75.996362,"Snack ","scooter ",17.32,53,0,"clear sky","High",24.35,49.11666667,"Snack","scooter","high","high","clear sky","Clear",1,29.7455039002548
"9.90E+08","COIMBRES17DEL01",37,4.8,11.026117,76.944652,11.066117,76.984652,"Meal ","scooter ",24.83,73,0,"mist","Moderate",8.81,31.21666667,"Meal","scooter","moderate","moderate","mist","Rainy",0,16.9332621444812
"39EF","CHENRES11DEL01",32,4.9,13.064181,80.236442,13.104181,80.276442,"Drinks ","motorcycle ",26.14,88,0,"mist","High",8.68,46.63333333,"Drinks","motorcycle","high","high","mist","Rainy",1,11.1679771273172
"E264","KNPRES17DEL02",22,4.5,26.483042,80.317833,26.533042,80.367833,"Drinks ","scooter ",21.8,55,0,"clear sky","Moderate",12.15,38.98333333,"Drinks","scooter","moderate","moderate","clear sky","Clear",0,18.7002992747927
"BD03","COIMBRES12DEL02",23,4.9,11.000762,76.981876,11.130762,77.111876,"Meal ","scooter ",25.15,73,0,"mist","Very High",26.96,54.5,"Meal","scooter","very high","very high","mist","Rainy",1,29.6807339449541
"9A29","RANCHIRES04DEL01",33,4.7,23.359033,85.325347,23.469033,85.435347,"Snack ","scooter ",17.88,67,0,"clear sky","High",19.03,45.31666667,"Snack","scooter","high","high","clear sky","Clear",1,25.1960279495994
"D0E5","KOLRES17DEL03",23,4.6,22.569358,88.433452,22.599358,88.463452,"Drinks ","motorcycle ",23.03,83,0,"haze","Moderate",8.33,32.65,"Drinks","motorcycle","moderate","moderate","haze","Poor Visibility",0,15.3078101071976
"A480","BANGRES19DEL02",27,4.6,12.914264,77.6784,12.994264,77.7584,"Drinks ","motorcycle ",19.74,93,0,"mist","Very High",19.35,64.63333333,"Drinks","motorcycle","very high","very high","mist","Rainy",1,17.9628674583787
